ワールド名,URL（インバイト）,季節,明るさ,行事イベント,ロケーション,説明,推薦者
Dream˸ ⁄ 夢˸,https://vrchat.com/home/world/wrld_6b0f8171-e617-4e9a-8c4f-931d4a7bcc5f,夏,明,0 関連なし,駅,電車の中。画面が青～白に埋まる。,
Daydreaming ⁄ 夢想,https://vrchat.com/home/world/wrld_929c02a8-780f-493c-8a68-72125b7b6b53,季節性なし,明,0 関連なし,"学校, 荒廃した世界",学校の中。無難に綺麗な画面作りに適切。,
Steps of Time ⁄ 時間の階段,https://vrchat.com/home/world/wrld_c3cf550b-b987-45ef-8b96-cc61fa6c2fde,夏,明,0 関連なし,"田舎（日本）, 川/湖, 荒廃した世界",荒廃した日本の夏。,
Severance ⁄ 断絶,https://vrchat.com/home/world/wrld_d28c9785-f02c-4ced-937a-80e320c10c92/info,春,暗,0 関連なし,"神社/和風, 川/湖","環境は暗いけどアバターは明るく映る。
鳥居と滝のある水辺",
Leftover Happiness ⁄ 残された幸せ,https://vrchat.com/home/world/wrld_1c0d1975-d3a9-4c12-8187-6f0df3e2b41f,春,暗,0 関連なし,"荒廃した世界, 田舎（日本）","環境は暗いけどアバターは明るく映る。
川の周りに和風建築の建物。",
Way to you ⁄ 君へ至る道,https://vrchat.com/home/world/wrld_ddc945c1-aae9-412f-8915-f621651f5852,季節性なし,明,0 関連なし,田舎（日本）,"環境は暗いけどアバターは明るく映る。
一本道の街道。光が綺麗で映える。",
Roshidere Classroom,https://vrchat.com/home/world/wrld_078ecc00-f193-43e0-80ec-139962d851bd/info,季節性なし,明,0 関連なし,学校,アニメ調の教室,
EVERYTHING,https://vrchat.com/home/world/wrld_2d51644c-179e-42ab-83d3-8882752296c6/info,夏,暗,0 関連なし,"荒廃した世界, 海",ローコントラストなエモい風景,
"Ariana
",https://vrchat.com/home/world/wrld_3de51725-d50e-4b13-96b6-75adf895dd62/info,夏,明,8 海/ビーチ,海,画面が真っ青になる。真夏のエモさ。,
追憶の原風景,https://vrchat.com/home/world/wrld_240299fa-7378-463b-a96b-74413aa20cb6/info,夏,明,8 海/ビーチ,"海, 田舎（日本）",田舎の夏。,
VR宇宙博物館コスモリア Cosmoria,https://vrchat.com/home/world/wrld_b5ed19cb-cf04-481c-833a-9833138ff668/info,季節性なし,明,0 関連なし,"宇宙, 展示","宇宙関連の博物館。
回る配信とか試してみる価値あり？",
Avatar Museum 14,https://vrchat.com/home/world/wrld_44897904-a665-44ad-aefa-781f47c73117/info,季節性なし,明,0 関連なし,"展示, 便利機能","アバターが展示されています。試着も可能です。
VRChatをはじめたらまずはここに行きましょう。",
The Avatar Studio,https://vrchat.com/home/world/wrld_96460268-8c89-438f-b8f2-2ea2f1ed1ce7/info,季節性なし,明,0 関連なし,便利機能,アバターの三面図を作成可能,
Just 三面図 ／ Just sanmenzu ［Quest対応］,https://vrchat.com/home/world/wrld_100a0fb3-1e66-4cd8-b0cb-47353f10de88/info,季節性なし,明,0 関連なし,便利機能,アバターの三面図を作成可能,
"碧蓝空想（湛望角站）
",https://vrchat.com/home/world/wrld_c2d1f6d4-956b-42b7-99a6-57310b3badc3/info,夏,明,0 関連なし,"駅, 海","綺麗な波打つ海の上にある駅。
空中を魚が泳いでる。電車、スイカ、木々などがある。",
Club Crash Site,https://vrchat.com/home/world/wrld_95d2a07b-56bb-4cad-912a-6562e4e621b0/info,季節性なし,暗,0 関連なし,ライブステージ,"【注意】アバターの明るさが変更できないと画面が真っ暗になります。
アバターの明るさ調整ギミック必須：Light Limit Changer",
"THE FIRST TAKE
",https://vrchat.com/home/world/wrld_8a93419b-4cef-42d8-9e97-b07c409a5074/info,季節性なし,ライト操作 可,0 関連なし,"ライブステージ, 部屋/住居","THE FIRST TAKE風のワールド
歌配信やショート動画に向いてる",
誰でもお気軽配信ワールド AdHoc -アドホック-,https://vrchat.com/home/launch?worldId=wrld_87971444-32c7-4df5-b5fe-1a185ddacc76,季節性なし,中間,0 関連なし,部屋/住居,"配信者向けのワールドというコンセプト
アバターの明るさ調整ギミック推奨：Light Limit Changer",
AQUA HEAVEN - Waterpark Pool,https://vrchat.com/home/world/wrld_a922b8e1-2351-4c27-b370-4c7fb5dd79c3/info,夏,明,8 海/ビーチ,"海, プール","プールを青い空が映えるワールド
ワールドの設定をいじれる機能付き",
